Price,Address,Description,Bed_Bath,Lease_Type,Room_Info,Gender,Scraped_At
Spring 4 Month 1 Room (of 4)Coed,,,,Spring 4 Month,1 of 4 rooms,Coed,2025-08-02 18:59:22
$750 / Month,"222 Albert St, Waterloo",ONE PRIVATE BEDROOM (GIRLS ONLY),,Spring 4 Month,1 of 3 rooms,Male Only,2025-08-02 18:59:22
Spring 4 Month 1 Room (of 3)Female Only,,,,Spring 4 Month,1 of 3 rooms,Male Only,2025-08-02 18:59:22
$850 / Month,"145 Columbia St W, Waterloo",Compact 1 Bedroom Society Condo,,Spring 4 Month,1 of 2 rooms,Male Only,2025-08-02 18:59:22
Spring 4 Month 1 Room (of 2)Male Only,,,,Spring 4 Month,1 of 2 rooms,Male Only,2025-08-02 18:59:22
$850 / Month,"222 Albert St, Waterloo",Furnished 1 Bedroom with Ensuite Washroom,,Spring 4 Month,1 of 3 rooms,Male Only,2025-08-02 18:59:22
Spring 4 Month 1 Room (of 3)Female Only,,,,Spring 4 Month,1 of 3 rooms,Male Only,2025-08-02 18:59:22
$1000 / Month,"252 Phillip St, Waterloo",Modern 1-Bedroom for Sublet at Hespeler House ...,,Spring 4 Month,1 of 4 rooms,Male Only,2025-08-02 18:59:22
Spring 4 Month 1 Room (of 4)Female Only,,,,Spring 4 Month,1 of 4 rooms,Male Only,2025-08-02 18:59:22
$900 / Month,"250 Phillip St, Waterloo",S25 Elora House 1 Bed 1 Bath (More Rooms Available) ...,1 Bed 1 Bath,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:22
Spring 4 Month 1 Room (of 5)Male Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:22
$995 / Month,"255 Sunview St, Waterloo",,,Spring 4 Month,3 of 3 rooms,Male Only,2025-08-02 18:59:22
Spring 4 Month 3 Rooms (of 3)Female Only,,,,Spring 4 Month,3 of 3 rooms,Male Only,2025-08-02 18:59:22
$995 / Month,"255 Sunview St, Waterloo","Cozy 1-Bedroom in 3-Bed, 2-Bath Home at 255 Sunview ...",,Spring 4 Month,1 of 3 rooms,Male Only,2025-08-02 18:59:22
Spring 4 Month 1 Room (of 3)Female Only,,,,Spring 4 Month,1 of 3 rooms,Male Only,2025-08-02 18:59:22
$900 / Month,"86 University Ave W, Waterloo",1 bedroom with ensuite washroom,,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:59:22
Spring 4 Month 1 Room (of 5)Coed,,,,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:59:22
$790 / Month,"315 King St N, Waterloo",SPACIOUS 1 BEDROOM APT WITH SEPARATE BATHROOM,,Spring 4 Month,4 of 5 rooms,Coed,2025-08-02 18:59:22
Spring 4 Month 4 Rooms (of 5)Coed,,,,Spring 4 Month,4 of 5 rooms,Coed,2025-08-02 18:59:22
$700 / Month,"280 Phillip St, Waterloo",1-2/4 bedroom in wcri fenwick,,Spring 4 Month,1 of 4 rooms,Male Only,2025-08-02 18:59:22
Spring 4 Month 1 Room (of 4)Female Only,,,,Spring 4 Month,1 of 4 rooms,Male Only,2025-08-02 18:59:22
$550 / Month,"90 McDougall Rd, Waterloo","90 McDougall Rd, Waterloo",,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:59:22
Spring 4 Month 1 Room (of 5)Coed,,,,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:59:22
$649 / Month,"191 Erb St. W, Waterloo",,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:22
Spring 4 Month 1 Room (of 5)Male Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:22
$650 / Month,"208 Sunview St, Waterloo",,,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:59:22
Spring 4 Month 1 Room (of 5)Coed,,,,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:59:22
$700 / Month,"121 University Ave E, Waterloo",Summer Sublet Townhouse Room Available for Cheap ...,,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:59:22
Spring 4 Month 1 Room (of 5)Coed,,,,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:59:22
$875 / Month,"295A Lester St, Waterloo",1 Bedroom 1 Bathroom,1 Bed 1 Bath,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:59:26
Spring 4 Month 1 Room (of 5)Coed,,,,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:59:26
$600 / Month,"208 Sunview St, Waterloo",One furnished bedroom for sublet :),,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:26
Spring 4 Month 1 Room (of 5)Female Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:26
$800 / Month,"339 King St N, Waterloo",1 bedroom available may-august 2025,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:26
Spring 4 Month 1 Room (of 5)Female Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:26
$1875 / Month,"130 Columbia St W, Waterloo",Spacious 1 Bedroom 1 Bath Apartment,1 Bed 1 Bath,Spring 4 Month,1 of 1 rooms,Coed,2025-08-02 18:59:26
Spring 4 Month 1 Room (of 1)Coed,,,,Spring 4 Month,1 of 1 rooms,Coed,2025-08-02 18:59:26
$949 / Month,"345 King St N, Waterloo",1 bedroom and private bathroom available,,Spring Lease,1 of 5 rooms,Male Only,2025-08-02 18:59:26
$750 / Month,"258 Sunview St, Waterloo",,,Spring 4 Month,1 of 2 rooms,Male Only,2025-08-02 18:59:26
Spring 4 Month 1 Room (of 2)Female Only,,,,Spring 4 Month,1 of 2 rooms,Male Only,2025-08-02 18:59:26
$800 / Month,"12 Bridgeport Rd E, Waterloo","12 Bridgeport Rd E, Waterloo",,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:26
Spring 4 Month 1 Room (of 5)Female Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:26
$749 / Month,"81 Columbia St W, Waterloo",,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:26
Spring 4 Month 1 Room (of 5)Female Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:26
$600 / Month,"280 Lester St, Waterloo",Room for Rent in a 3-Bedroom Apartment,,Spring 4 Month,1 of 3 rooms,Coed,2025-08-02 18:59:27
Spring 4 Month 1 Room (of 3)Coed,,,,Spring 4 Month,1 of 3 rooms,Coed,2025-08-02 18:59:27
$2500 / Month,"29 Barrel Yards Blvd, Waterloo","29 Barrel Yards Blvd, Waterloo",2 Bed 2 Bath,Spring 4 Month,2 of 2 rooms,Coed,2025-08-02 18:59:27
Spring 4 Month 2 Rooms (of 2)Coed,,,,Spring 4 Month,2 of 2 rooms,Coed,2025-08-02 18:59:27
$770 / Month,"75 Columbia St W, Waterloo",,5 Bed 5 Bath,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:27
Spring 4 Month 1 Room (of 5)Male Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:27
$800 / Month,"181 Lester St, Waterloo",1 Bedroom at 181 Lester May-Aug,,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:59:27
Spring 4 Month 1 Room (of 5)Coed,,,,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:59:27
$650 / Month,"203 Lester St, Waterloo",Private & Spacious 1 Bedroom @ 203 Lester (Price ...,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:27
Spring 4 Month 1 Room (of 5)Male Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:27
$1190 / Month,,"Bridgeport House, Regina St N, Waterloo",,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:27
Spring 4 Month 1 Room (of 5)Female Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:27
$850 / Month,"222 Albert St, Waterloo",Spacious 1 Bedroom in 3 Bedroom Unit!,,Spring 4 Month,1 of 3 rooms,Male Only,2025-08-02 18:59:27
Spring 4 Month 1 Room (of 3)Female Only,,,,Spring 4 Month,1 of 3 rooms,Male Only,2025-08-02 18:59:27
$810 / Month,"96 University Ave W, Waterloo","1 Bedroom Spring Sublet (May-August), UTILITIES ...",,Spring 4 Month,1 of 4 rooms,Coed,2025-08-02 18:59:27
Spring 4 Month 1 Room (of 4)Coed,,,,Spring 4 Month,1 of 4 rooms,Coed,2025-08-02 18:59:27
$1050 / Month,"254 Phillip St, Waterloo",1 bedroom with ensuite washroom Fergus House,,Spring 4 Month,1 of 4 rooms,Male Only,2025-08-02 18:59:27
Spring 4 Month 1 Room (of 4)Female Only,,,,Spring 4 Month,1 of 4 rooms,Male Only,2025-08-02 18:59:27
$675 / Month,"321 Lester St, Waterloo",5 bedroom 2 bath apartment,5 Bed 2 Bath,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:59:27
Spring 4 Month 1 Room (of 5)Coed,,,,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:59:27
$500 / Month,"253 Lester St, Waterloo",1-2 Rooms in a 5 Bed 2 Bath on Lester,5 Bed 2 Bath,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:59:27
Spring 4 Month 1 Room (of 5)Coed,,,,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:59:27
$535 / Month,"134 Columbia St W, Waterloo",1 Bedroom Sublet (May 2025 - August 2025),,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:59:27
Spring 4 Month 1 Room (of 5)Coed,,,,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:59:27
$850 / Month,"271 Lester St, Waterloo",,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:27
Spring 4 Month 1 Room (of 5)Female Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:27
$450 / Month,"121 University Ave E, Waterloo",1 BEDROOM IN SPACIOUS TOWNHOUSE,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:27
Spring 4 Month 1 Room (of 5)Female Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:27
$600 / Month,"298 Spruce St, Waterloo",1 Bedroom for rent,,Spring 4 Month,1 of 4 rooms,Male Only,2025-08-02 18:59:27
Spring 4 Month 1 Room (of 4)Female Only,,,,Spring 4 Month,1 of 4 rooms,Male Only,2025-08-02 18:59:27
$1245 / Month,"250 Phillip St, Waterloo",Bedroom In Rez-One Elora House w/ Private Bathroom ...,,Spring 4 Month,2 of 4 rooms,Male Only,2025-08-02 18:59:27
Spring 4 Month 2 Rooms (of 4)Female Only,,,,Spring 4 Month,2 of 4 rooms,Male Only,2025-08-02 18:59:27
$765 / Month,,"145 Elgin Crescent, Waterloo",,Spring 4 Month,1 of 1 rooms,Male Only,2025-08-02 18:59:27
Spring 4 Month 1 Room (of 1)Female Only,,,,Spring 4 Month,1 of 1 rooms,Male Only,2025-08-02 18:59:27
$900 / Month,"251 Hemlock St, Waterloo",1 bed in a 2B2B at Sage 6,,Spring 4 Month,1 of 2 rooms,Male Only,2025-08-02 18:59:27
Spring 4 Month 1 Room (of 2)Female Only,,,,Spring 4 Month,1 of 2 rooms,Male Only,2025-08-02 18:59:27
$700 / Month,"280 Phillip St, Waterloo",1 bedroom at WCRI Fenwick,,Spring 4 Month,1 of 3 rooms,Coed,2025-08-02 18:59:27
Spring 4 Month 1 Room (of 3)Coed,,,,Spring 4 Month,1 of 3 rooms,Coed,2025-08-02 18:59:27
$900 / Month,"315 King St N, Waterloo",Looking for Summer 2025 Sublet - Available May ...,,Spring 4 Month,4 of 4 rooms,Coed,2025-08-02 18:59:27
Spring 4 Month 4 Rooms (of 4)Coed,,,,Spring 4 Month,4 of 4 rooms,Coed,2025-08-02 18:59:27
$850 / Month,"429 Keats Way, Waterloo","429 Keats Way, Waterloo",,Fall 8 Month,5 of 6 rooms,Coed,2025-08-02 18:59:27
Fall 8 Month 5 Rooms (of 6)Coed,,,,Fall 8 Month,5 of 6 rooms,Coed,2025-08-02 18:59:27
$1000 / Month,"254 Phillip St, Waterloo",2 Bedrooms with Ensuite Bathrooms in Rez One Fergus ...,,Spring 4 Month,2 of 4 rooms,Coed,2025-08-02 18:59:27
Spring 4 Month 2 Rooms (of 4)Coed,,,,Spring 4 Month,2 of 4 rooms,Coed,2025-08-02 18:59:27
$750 / Month,"110 University Ave W, Waterloo",Spacious 1 Bedroom with Queen Bed and Private ...,,Spring 4 Month,1 of 1 rooms,Male Only,2025-08-02 18:59:32
Spring 4 Month 1 Room (of 1)Female Only,,,,Spring 4 Month,1 of 1 rooms,Male Only,2025-08-02 18:59:32
$675 / Month,"295A Lester St, Waterloo",,1 Bed 1 Bath,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:59:32
Spring 4 Month 1 Room (of 5)Coed,,,,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:59:32
$500 / Month,"52 Westmount Rd S, Waterloo","52 Westmount Rd S, Waterloo",,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:59:32
Spring 4 Month 1 Room (of 5)Coed,,,,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:59:32
$700 / Month,"96 University Ave W, Waterloo","4 bedroom, 2 bathrooms sublet available - May ...",4 Bed 2 Bath,Spring 4 Month,4 of 4 rooms,Coed,2025-08-02 18:59:32
Spring 4 Month 4 Rooms (of 4)Coed,,,,Spring 4 Month,4 of 4 rooms,Coed,2025-08-02 18:59:32
$650 / Month,"322 Lester St, Waterloo",Spacious Room Available,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:32
Spring 4 Month 1 Room (of 5)Female Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:32
$1200 / Month,"330 Phillip St, Waterloo",ICON 330 PHILLIP STREET,,Spring 4 Month,2 of 2 rooms,Male Only,2025-08-02 18:59:32
Spring 4 Month 2 Rooms (of 2)Female Only,,,,Spring 4 Month,2 of 2 rooms,Male Only,2025-08-02 18:59:32
$500 / Month,"350 Lester St, Waterloo",350 Lester 1Bed/1Bath Available,1 Bed 1 Bath,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:59:32
Spring 4 Month 1 Room (of 5)Coed,,,,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:59:32
$895 / Month,"69 Columbia St W, Waterloo",Spacious Ensuite Apartment with a Private Bathroom ...,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:32
Spring 4 Month 1 Room (of 5)Female Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:32
$1800 / Month,"145 Columbia St W, Waterloo",2 Bed 1 Bath Apartment,2 Bed 1 Bath,Spring 4 Month,2 of 2 rooms,Coed,2025-08-02 18:59:32
Spring 4 Month 2 Rooms (of 2)Coed,,,,Spring 4 Month,2 of 2 rooms,Coed,2025-08-02 18:59:32
$900 / Month,"315 King St N, Waterloo",PRESTON HOUSE - 1 BEDROOM WITH ENSUITE BATHROOM: ...,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:32
Spring 4 Month 1 Room (of 5)Female Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:32
$960 / Month,"208 Sunview St, Waterloo",Furnished 1 Bedroom at Sunview,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:32
Spring 4 Month 1 Room (of 5)Male Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:32
$840 / Month,"345 King St N, Waterloo",,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:32
Spring 4 Month 1 Room (of 5)Female Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:32
$850 / Month,"222 Albert St, Waterloo",1 Bedroom in Albert st apartment,,Spring 4 Month,1 of 2 rooms,Male Only,2025-08-02 18:59:32
Spring 4 Month 1 Room (of 2)Female Only,,,,Spring 4 Month,1 of 2 rooms,Male Only,2025-08-02 18:59:32
$900 / Month,"254 Phillip St, Waterloo",1 Bedroom in Fergus Unit,,Spring 4 Month,1 of 4 rooms,Male Only,2025-08-02 18:59:32
Spring 4 Month 1 Room (of 4)Female Only,,,,Spring 4 Month,1 of 4 rooms,Male Only,2025-08-02 18:59:32
$700 / Month,"252 Phillip St, Waterloo",,,Spring 4 Month,1 of 4 rooms,Male Only,2025-08-02 18:59:32
Spring 4 Month 1 Room (of 4)Male Only,,,,Spring 4 Month,1 of 4 rooms,Male Only,2025-08-02 18:59:32
$763 / Month,"268 Phillip St, Waterloo",1 Bedroom Sublet,,Spring 4 Month,1 of 3 rooms,Coed,2025-08-02 18:59:32
Spring 4 Month 1 Room (of 3)Coed,,,,Spring 4 Month,1 of 3 rooms,Coed,2025-08-02 18:59:32
$500 / Month,,"303 Westcourt Pl, Waterloo",,Spring 4 Month,2 of 4 rooms,Male Only,2025-08-02 18:59:32
Spring 4 Month 2 Rooms (of 4)Female Only,,,,Spring 4 Month,2 of 4 rooms,Male Only,2025-08-02 18:59:32
$850 / Month,"86 McDougall Rd, Waterloo","86 McDougall Rd, Waterloo",,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:32
Spring 4 Month 1 Room (of 5)Male Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:32
$1000 / Month,"330 Phillip St, Waterloo",1 BEDROOM SUBLEASE ASAP,,Winter 4 Month,1 of 3 rooms,Male Only,2025-08-02 18:59:32
Winter 4 Month 1 Room (of 3)Female Only,,,,Winter 4 Month,1 of 3 rooms,Male Only,2025-08-02 18:59:32
$715 / Month,"86 University Ave W, Waterloo",,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:32
Spring 4 Month 1 Room (of 5)Female Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:32
$750 / Month,"750/Month - 328 Regina Street, May 1st-August ...","Bridgeport House, Regina St N, Waterloo",,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:32
Spring 4 Month 1 Room (of 5)Female Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:32
$565 / Month,"366 Hazel St, Waterloo",Spacious Bedroom 1/5 SUMMER SUBLET,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:32
Spring 4 Month 1 Room (of 5)Female Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:32
$679 / Month,"45 Columbia St W, Waterloo",1 Bedroom sublet available for spring 2025,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:32
Spring 4 Month 1 Room (of 5)Female Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:32
$700 / Month,"339 King St N, Waterloo",1 Bedroom Apartment W/ Ensuite,,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:59:32
Spring 4 Month 1 Room (of 5)Coed,,,,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:59:32
$956 / Month,"203 Lester St, Waterloo",(May-Aug 2025) 1 room available at 203 Lester ...,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:32
Spring 4 Month 1 Room (of 5)Male Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:32
$500 / Month,"253 Lester St, Waterloo",1 Bedroom for Spring 2025 (PRICE REDUCED),,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:59:32
Spring 4 Month 1 Room (of 5)Coed,,,,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:59:32
$2200 / Month,"145 Columbia St W, Waterloo","Society 145 ENTIRE unit available, 2 bedrooms ...",,Spring 4 Month,2 of 2 rooms,Coed,2025-08-02 18:59:32
Spring 4 Month 2 Rooms (of 2)Coed,,,,Spring 4 Month,2 of 2 rooms,Coed,2025-08-02 18:59:32
$575 / Month,"188 King St N, Waterloo",1-Min Walk to WLU - Fully Furnished Bedroom Summer ...,,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:59:32
Spring 4 Month 1 Room (of 5)Coed,,,,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:59:32
$2200 / Month,"158 King St N, Waterloo",2 bedrooms with private washrooms (Rent Negotiable) ...,,Spring 4 Month,2 of 2 rooms,Coed,2025-08-02 18:59:32
Spring 4 Month 2 Rooms (of 2)Coed,,,,Spring 4 Month,2 of 2 rooms,Coed,2025-08-02 18:59:32
$700 / Month,"639 Albert St, Waterloo",Spring Lease2 Rooms (of 4)Female Only,,Spring Lease,2 of 4 rooms,Male Only,2025-08-02 18:59:33
$700 / Month,"203 Lester St, Waterloo",,,Spring 4 Month,2 of 5 rooms,Male Only,2025-08-02 18:59:37
Spring 4 Month 2 Rooms (of 5)Female Only,,,,Spring 4 Month,2 of 5 rooms,Male Only,2025-08-02 18:59:37
$770 / Month,,"303 Westcourt Pl, Waterloo",,Spring 4 Month,1 of 4 rooms,Male Only,2025-08-02 18:59:37
Spring 4 Month 1 Room (of 4)Female Only,,,,Spring 4 Month,1 of 4 rooms,Male Only,2025-08-02 18:59:37
$850 / Month,"251 Lester St, Waterloo",Waterloo Summer Sublet 2025,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:37
Spring 4 Month 1 Room (of 5)Female Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:37
$800 / Month,"62 Balsam St, Waterloo",,,Spring 4 Month,1 of 4 rooms,Male Only,2025-08-02 18:59:37
Spring 4 Month 1 Room (of 4)Female Only,,,,Spring 4 Month,1 of 4 rooms,Male Only,2025-08-02 18:59:37
$850 / Month,"145 Columbia St W, Waterloo",Subletting ENTIRE 2 Bedroom Society N unit for ...,,Spring 4 Month,2 of 2 rooms,Coed,2025-08-02 18:59:37
Spring 4 Month 2 Rooms (of 2)Coed,,,,Spring 4 Month,2 of 2 rooms,Coed,2025-08-02 18:59:37
$840 / Month,"333 King St N, Waterloo",,,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:59:37
Spring 4 Month 1 Room (of 5)Coed,,,,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:59:37
$700 / Month,"330 Spruce St, Waterloo",1/5 bed ensuite bathroom,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:37
Spring 4 Month 1 Room (of 5)Male Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:37
$900 / Month,"254 Phillip St, Waterloo",(May-Aug 2025) 1 room available at Rez-One Fergus ...,,Spring 4 Month,1 of 4 rooms,Male Only,2025-08-02 18:59:37
Spring 4 Month 1 Room (of 4)Male Only,,,,Spring 4 Month,1 of 4 rooms,Male Only,2025-08-02 18:59:37
$650 / Month,"336 Spruce St, Waterloo",,,Spring 4 Month,2 of 3 rooms,Male Only,2025-08-02 18:59:37
Spring 4 Month 2 Rooms (of 3)Female Only,,,,Spring 4 Month,2 of 3 rooms,Male Only,2025-08-02 18:59:37
$815 / Month,"104 University Ave W, Waterloo",2/5 Bedroom 2 Bathroom All Female Unit Available! ...,5 Bed 2 Bath,Fall Lease,2 of 5 rooms,Male Only,2025-08-02 18:59:37
$650 / Month,"250 Keats Way, Waterloo","250 Keats Way, Waterloo",,Spring 4 Month,1 of 4 rooms,Male Only,2025-08-02 18:59:37
Spring 4 Month 1 Room (of 4)Male Only,,,,Spring 4 Month,1 of 4 rooms,Male Only,2025-08-02 18:59:37
$700 / Month,"350 Lester St, Waterloo",One Bedroom on Columbia and Lester- Summer Sublet ...,,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:59:37
Spring 4 Month 1 Room (of 5)Coed,,,,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:59:37
$475 / Month,"110 Columbia St W, Waterloo",Fully furnished apartment!,,Spring 4 Month,2 of 5 rooms,Male Only,2025-08-02 18:59:37
Spring 4 Month 2 Rooms (of 5)Female Only,,,,Spring 4 Month,2 of 5 rooms,Male Only,2025-08-02 18:59:37
$800 / Month,"295 Lester St, Waterloo",1 bedroom with private washroom apartment on lester ...,,Spring 8 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:37
Spring 8 Month 1 Room (of 5)Male Only,,,,Spring 8 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:37
$800 / Month,"228 Albert St, Waterloo",Private bedroom in 3 bedroom unit,,Winter 8 Month,1 of 3 rooms,Coed,2025-08-02 18:59:37
Winter 8 Month 1 Room (of 3)Coed,,,,Winter 8 Month,1 of 3 rooms,Coed,2025-08-02 18:59:37
$800 / Month,"228 Albert St, Waterloo",Private bedroom in 3 bedroom Unit,,Spring 4 Month,1 of 3 rooms,Coed,2025-08-02 18:59:37
Spring 4 Month 1 Room (of 3)Coed,,,,Spring 4 Month,1 of 3 rooms,Coed,2025-08-02 18:59:37
$3300 / Month,"222 Albert St, Waterloo",,,Spring 4 Month,3 of 3 rooms,Coed,2025-08-02 18:59:37
Spring 4 Month 3 Rooms (of 3)Coed,,,,Spring 4 Month,3 of 3 rooms,Coed,2025-08-02 18:59:37
$790 / Month,"203 Lester St, Waterloo",SUBLET @ 203 LESTER,,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:59:37
Spring 4 Month 1 Room (of 5)Coed,,,,Spring 4 Month,1 of 5 rooms,Coed,2025-08-02 18:59:37
$800 / Month,"330 Phillip St, Waterloo",1 bedroom male ICON Summer Sublet,,Spring 4 Month,1 of 3 rooms,Male Only,2025-08-02 18:59:37
Spring 4 Month 1 Room (of 3)Male Only,,,,Spring 4 Month,1 of 3 rooms,Male Only,2025-08-02 18:59:37
$800 / Month,"252 Phillip St, Waterloo","1 bedroom (May to August) at hespeler house, 252 ...",,Spring 4 Month,1 of 4 rooms,Coed,2025-08-02 18:59:37
Spring 4 Month 1 Room (of 4)Coed,,,,Spring 4 Month,1 of 4 rooms,Coed,2025-08-02 18:59:37
$900 / Month,"181 Lester St, Waterloo",Two Bedrooms with Ensuite Bathrooms *PRICE NEGOTIABLE* ...,,Spring 4 Month,2 of 5 rooms,Coed,2025-08-02 18:59:37
Spring 4 Month 2 Rooms (of 5)Coed,,,,Spring 4 Month,2 of 5 rooms,Coed,2025-08-02 18:59:37
$890 / Month,"181 Lester St, Waterloo",,2 Bed 1 Bath,Spring 4 Month,2 of 5 rooms,Male Only,2025-08-02 18:59:37
Spring 4 Month 2 Rooms (of 5)Female Only,,,,Spring 4 Month,2 of 5 rooms,Male Only,2025-08-02 18:59:37
$1175 / Month,"251 Hemlock St, Waterloo",2 Bedroom apartment at Sage 6 available!!,,Fall Lease,2 of 2 rooms,Coed,2025-08-02 18:59:37
$835 / Month,"110 University Ave W, Waterloo","1 bedroom + Ensuite bathroom for May to August, ...",,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:37
Spring 4 Month 1 Room (of 5)Female Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:37
$850 / Month,"321 Lester St, Waterloo",1 Room available 5 min from UW - 321 Lester,,Spring 4 Month,2 of 5 rooms,Coed,2025-08-02 18:59:37
Spring 4 Month 2 Rooms (of 5)Coed,,,,Spring 4 Month,2 of 5 rooms,Coed,2025-08-02 18:59:37
$600 / Month,"110 University Ave W, Waterloo",Queen bedroom with Ensuite bathroom,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:37
Spring 4 Month 1 Room (of 5)Male Only,,,,Spring 4 Month,1 of 5 rooms,Male Only,2025-08-02 18:59:37
